order_date,total_orders,total_items_sold,total_revenue,total_discounts,total_returns,average_order_value
2024-01-01,12,30,166275,3504,22,13856.25
2024-01-02,14,44,329758,4650,154,23554.14285714286
2024-01-03,16,54,500215,4752,7,31263.4375
2024-01-04,12,32,319079,1019,22,26589.916666666668
2024-01-05,13,40,356904,4936,27,27454.153846153848
2024-01-06,20,53,589892,3631,140,29494.6
2024-01-07,12,41,229624,3179,130,19135.333333333332
2024-01-08,14,45,329584,3729,163,23541.714285714286
2024-01-09,8,22,148210,4288,42,18526.25
2024-01-10,6,19,151212,3392,51,25202.0
2024-01-11,15,47,375587,365,168,25039.133333333335
2024-01-12,11,31,264022,3234,82,24002.0
2024-01-13,15,45,259454,4227,2,17296.933333333334
2024-01-14,14,34,352645,746,57,25188.928571428572
2024-01-15,15,48,247504,22,45,16500.266666666666
2024-01-16,13,52,299325,4446,14,23025.0
2024-01-17,16,54,341649,1534,87,21353.0625
2024-01-18,22,63,632088,3875,165,28731.272727272728
2024-01-19,10,35,313392,3712,49,31339.2
2024-01-20,16,57,466006,1785,96,29125.375
2024-01-21,12,35,281398,4339,35,23449.833333333332
2024-01-22,11,29,301847,1916,130,27440.636363636364
2024-01-23,15,44,426904,3156,122,28460.266666666666
2024-01-24,23,73,449183,4996,18,19529.695652173912
2024-01-25,13,39,322149,1724,63,24780.69230769231
2024-01-26,9,20,198509,3241,26,22056.555555555555
2024-01-27,13,28,385311,1205,185,29639.30769230769
2024-01-28,15,42,387486,3885,127,25832.4
2024-01-29,14,46,294229,2800,179,21016.35714285714
2024-01-30,23,63,562062,4382,81,24437.478260869564
2024-01-31,14,47,421186,3074,173,30084.714285714286
2024-02-01,11,31,363824,4317,57,33074.90909090909
2024-02-02,27,85,674286,2183,181,24973.555555555555
2024-02-03,12,34,351889,2390,158,29324.083333333332
2024-02-04,17,52,434385,1278,110,25552.058823529413
2024-02-05,12,29,215558,314,88,17963.166666666668
2024-02-06,15,51,330297,3484,194,22019.8
2024-02-07,17,51,387442,3475,72,22790.70588235294
2024-02-08,14,47,296301,1561,171,21164.35714285714
2024-02-09,18,66,427668,2250,81,23759.333333333332
2024-02-10,10,27,190388,89,159,19038.8
2024-02-11,15,53,378783,3786,122,25252.2
2024-02-12,15,44,394067,300,95,26271.133333333335
2024-02-13,7,17,175575,1288,63,25082.14285714286
