order_item_id,order_id,product_id,quantity,unit_price,total_price,discount
1,1,265,1,445,445,44
2,1,411,2,683,1366,40
3,1,363,1,5692,5692,27
4,1,62,2,7260,14520,14
5,2,291,1,2599,2599,42
6,2,65,2,1575,3150,28
7,2,191,2,600,1200,13
8,3,87,2,5931,11862,43
9,3,61,1,6585,6585,24
10,3,400,1,4939,4939,31
11,4,184,1,2562,2562,10
12,4,233,2,7932,15864,25
13,5,56,2,3520,7040,43
14,5,13,1,2609,2609,17
15,5,23,2,5151,10302,43
16,5,122,1,8570,8570,15
17,6,22,1,2507,2507,1
18,6,27,2,4304,8608,21
19,6,309,2,5432,10864,1
20,6,301,1,7201,7201,41
21,6,448,1,2566,2566,1
22,7,220,2,792,1584,17
23,8,460,2,8795,17590,48
24,8,340,2,6534,13068,22
25,8,122,2,8570,17140,41
26,8,372,1,1416,1416,3
27,9,8,1,552,552,37
28,9,304,2,5702,11404,2
29,10,132,1,4597,4597,19
30,10,72,1,4731,4731,33
31,10,139,2,6678,13356,16
32,10,117,1,6431,6431,28
33,11,177,1,5567,5567,26
34,11,362,1,9032,9032,22
35,11,400,1,4939,4939,11
36,11,269,2,8261,16522,38
37,11,435,2,1446,2892,46
38,12,407,1,5041,5041,47
39,12,230,1,1378,1378,28
40,12,367,1,7596,7596,12
41,13,227,2,3371,6742,3
42,13,147,1,4932,4932,32
43,13,144,2,952,1904,49
44,13,464,1,626,626,5
45,13,225,2,6279,12558,38
46,14,17,1,3755,3755,39
47,15,191,1,600,600,23
48,16,207,2,1145,2290,18
49,17,168,1,2126,2126,7
50,18,138,1,6011,6011,13
51,18,229,1,6873,6873,2
52,18,170,2,5243,10486,43
53,19,131,1,6426,6426,8
54,19,154,1,2254,2254,29
55,19,318,1,8576,8576,15
56,20,331,1,8327,8327,35
57,20,11,2,6295,12590,23
58,20,183,1,2684,2684,4
59,20,393,2,5614,11228,11
60,20,268,2,8452,16904,10
61,21,223,2,3994,7988,4
62,22,289,1,6074,6074,42
63,23,294,2,2813,5626,22
64,23,341,2,1233,2466,10
65,24,149,2,6253,12506,21
66,25,490,2,2663,5326,14
67,25,25,1,7208,7208,36
68,25,353,2,8490,16980,13
69,26,252,2,2663,5326,11
70,26,305,2,6459,12918,29
71,26,196,2,3348,6696,3
72,27,70,2,5334,10668,5
73,28,151,2,9774,19548,26
74,28,64,1,3594,3594,12
75,29,1,1,7383,7383,20
76,29,109,1,7744,7744,8
77,29,474,2,6848,13696,36
78,30,416,2,1795,3590,41
79,30,315,1,5375,5375,31
80,31,302,1,1386,1386,44
81,31,109,1,7744,7744,12
82,32,441,2,5608,11216,48
83,32,269,2,8261,16522,3
84,32,104,2,4304,8608,9
85,33,326,2,8014,16028,18
86,34,258,1,6742,6742,49
87,34,390,2,2081,4162,16
88,34,114,2,8116,16232,42
89,34,32,2,9159,18318,14
90,35,72,1,4731,4731,30
91,35,125,1,4484,4484,9
92,35,419,2,6185,12370,25
93,36,11,1,6295,6295,4
94,36,351,2,8394,16788,36
95,37,463,1,8313,8313,8
96,37,256,2,8015,16030,42
97,37,152,1,8703,8703,6
98,37,341,2,1233,2466,17
99,37,156,2,1080,2160,25
100,38,485,2,2932,5864,35
101,38,470,2,8803,17606,8
102,38,265,2,445,890,25
103,38,386,1,7081,7081,21
104,39,418,2,8496,16992,33
105,39,266,2,1413,2826,44
106,39,125,1,4484,4484,5
107,40,261,1,8358,8358,37
108,41,184,1,2562,2562,6
109,41,351,1,8394,8394,29
110,41,2,2,1005,2010,6
111,41,174,1,5394,5394,13
112,41,368,1,2023,2023,24
113,42,65,1,1575,1575,47
114,42,337,1,3014,3014,6
115,42,21,1,9405,9405,3
116,42,342,2,808,1616,2
117,42,204,2,5332,10664,5
118,43,325,1,4425,4425,4
119,44,70,2,5334,10668,48
120,44,291,2,2599,5198,49
121,44,147,1,4932,4932,14
122,44,115,2,901,1802,25
123,45,360,1,7936,7936,40
124,45,365,2,2532,5064,22
125,45,256,1,8015,8015,4
126,45,269,1,8261,8261,19
127,46,69,2,3379,6758,32
128,46,68,1,1393,1393,7
129,46,46,1,2736,2736,12
130,46,286,2,1335,2670,34
131,47,158,1,3155,3155,40
132,47,475,2,2596,5192,27
133,47,495,2,7826,15652,27
134,48,150,1,179,179,0
135,49,93,2,8858,17716,37
136,49,376,1,7229,7229,49
137,50,348,2,9864,19728,6
138,50,433,2,1018,2036,26
139,50,104,2,4304,8608,47
140,51,345,2,6080,12160,37
141,52,209,2,8256,16512,36
142,52,389,2,8169,16338,14
143,52,40,2,8004,16008,45
144,52,245,2,6825,13650,8
145,53,410,1,1950,1950,12
146,54,4,1,3526,3526,42
147,54,293,1,3156,3156,37
148,54,372,1,1416,1416,2
149,54,224,2,6082,12164,38
150,54,346,2,8830,17660,49
151,55,100,2,2808,5616,30
152,55,188,2,1340,2680,38
153,55,356,2,7623,15246,25
154,55,232,2,4005,8010,12
155,56,64,1,3594,3594,41
156,56,361,2,1521,3042,39
157,56,264,1,2992,2992,33
158,57,153,1,6657,6657,7
159,57,172,2,8206,16412,27
160,57,302,1,1386,1386,11
161,57,314,1,3186,3186,33
162,58,422,2,2063,4126,12
163,58,283,2,9977,19954,39
164,58,461,2,9272,18544,48
165,58,429,2,9556,19112,11
166,59,491,2,7872,15744,22
167,60,25,2,7208,14416,25
168,60,62,1,7260,7260,8
169,60,65,1,1575,1575,40
170,60,391,2,7357,14714,2
171,60,417,2,5478,10956,47
172,61,476,1,1509,1509,43
173,61,326,1,8014,8014,19
174,62,8,2,552,1104,1
175,62,355,1,3972,3972,0
176,62,37,1,5974,5974,12
177,63,497,1,6071,6071,40
178,63,425,2,6302,12604,23
179,63,478,1,7111,7111,20
180,63,293,1,3156,3156,27
181,64,9,2,7261,14522,41
182,64,117,1,6431,6431,19
183,65,67,1,1386,1386,18
184,65,91,2,2426,4852,10
185,65,476,2,1509,3018,37
186,65,494,1,7434,7434,13
187,65,37,1,5974,5974,20
188,66,141,2,5963,11926,4
189,66,101,2,8481,16962,37
190,67,224,2,6082,12164,28
191,68,7,2,4344,8688,11
192,68,485,2,2932,5864,33
193,69,16,1,6789,6789,1
194,69,82,1,9229,9229,42
195,69,236,2,5507,11014,37
196,70,61,2,6585,13170,20
197,70,246,1,7060,7060,37
198,70,249,2,3076,6152,30
199,70,185,1,9725,9725,30
200,70,324,1,9564,9564,14
201,71,290,1,8108,8108,10
202,71,217,2,6416,12832,23
203,71,138,2,6011,12022,12
204,71,499,1,7189,7189,11
205,72,375,1,9583,9583,19
206,72,85,1,7726,7726,8
207,72,99,2,7480,14960,10
208,72,415,2,9335,18670,0
209,73,108,2,1845,3690,14
210,73,456,2,8667,17334,28
211,73,173,1,7111,7111,4
212,73,483,1,5769,5769,8
213,74,330,1,6169,6169,32
214,74,298,1,7494,7494,20
215,74,298,2,7494,14988,14
216,75,254,2,8080,16160,14
217,75,313,1,2105,2105,21
218,76,153,2,6657,13314,25
219,76,93,2,8858,17716,22
220,76,172,1,8206,8206,22
221,76,185,2,9725,19450,9
222,76,56,1,3520,3520,9
223,77,167,1,7276,7276,45
224,78,163,2,1089,2178,16
225,78,313,2,2105,4210,33
226,78,454,1,412,412,6
227,79,132,1,4597,4597,18
228,79,368,2,2023,4046,14
229,79,104,1,4304,4304,36
230,79,470,1,8803,8803,6
231,79,323,2,3539,7078,22
232,80,34,2,4723,9446,19
233,81,87,1,5931,5931,48
234,81,343,2,6618,13236,24
235,82,362,2,9032,18064,29
236,82,93,2,8858,17716,2
