order_id,customer_id,seller_id,order_date,total_items,total_amount,payment_method,order_status
1,374,29,2024-02-28,4,13292,UPI,Delivered
2,114,45,2024-05-05,3,627,UPI,Delivered
3,944,3,2024-08-05,3,14816,Wallet,Cancelled
4,172,2,2024-12-18,2,21575,UPI,Cancelled
5,167,40,2024-11-12,4,38007,Wallet,Delivered
6,601,31,2024-05-30,5,27366,Wallet,Delivered
7,837,15,2024-07-21,1,10651,UPI,Cancelled
8,534,24,2024-02-18,4,43343,UPI,Delivered
9,299,35,2024-12-12,2,7279,Wallet,Cancelled
10,352,47,2024-07-28,4,20071,UPI,Delivered
11,652,36,2024-01-17,5,6573,UPI,Returned
12,277,2,2024-08-27,3,10889,Credit Card,Returned
13,62,11,2024-02-16,5,20515,COD,Delivered
14,908,45,2024-06-14,1,44399,COD,Delivered
15,123,33,2024-04-19,1,16328,UPI,Delivered
16,609,6,2024-04-10,1,4309,Credit Card,Delivered
17,654,28,2024-09-20,1,16983,Credit Card,Cancelled
18,107,24,2024-04-20,3,8059,Credit Card,Delivered
19,422,44,2024-08-31,3,32697,UPI,Returned
20,702,28,2024-06-29,5,9863,Wallet,Returned
21,959,17,2024-07-15,1,49222,COD,Returned
22,65,30,2024-05-02,1,31940,COD,Returned
23,219,16,2024-05-13,2,26836,UPI,Cancelled
24,918,50,2024-10-22,1,32950,Credit Card,Delivered
25,644,50,2024-02-14,3,3016,Wallet,Returned
26,101,15,2024-07-22,3,26458,Credit Card,Returned
27,188,48,2024-07-05,1,17821,Credit Card,Cancelled
28,202,30,2024-05-10,2,3337,UPI,Delivered
29,180,34,2024-12-05,3,7561,Credit Card,Cancelled
30,710,2,2024-07-07,2,13248,Wallet,Cancelled
31,436,37,2024-02-26,2,37767,Credit Card,Returned
32,365,7,2024-04-06,3,7138,Wallet,Cancelled
33,251,38,2024-01-22,1,43011,Credit Card,Delivered
34,964,14,2024-02-06,4,38664,Credit Card,Delivered
35,798,37,2024-11-08,3,28574,UPI,Delivered
36,122,10,2024-01-07,2,2177,COD,Returned
37,197,13,2024-12-02,5,48749,UPI,Returned
38,681,19,2024-03-06,4,13976,Credit Card,Returned
39,820,15,2024-01-30,3,35944,Wallet,Delivered
40,231,43,2024-02-07,1,38545,UPI,Delivered
41,743,12,2024-08-18,5,21002,UPI,Cancelled
42,93,10,2024-12-15,5,39714,Credit Card,Cancelled
43,870,37,2024-04-21,1,5072,Credit Card,Returned
44,356,49,2024-06-06,4,2860,Credit Card,Delivered
45,917,17,2024-11-29,4,42044,COD,Cancelled
46,299,42,2024-08-13,4,36393,COD,Delivered
47,185,27,2024-03-03,3,33970,UPI,Returned
48,299,43,2024-06-23,1,4923,Credit Card,Returned
49,816,16,2024-07-29,2,3580,COD,Returned
50,538,47,2024-11-17,3,22432,UPI,Returned
51,28,34,2024-09-29,1,5124,Wallet,Delivered
52,643,26,2024-03-18,4,26480,UPI,Returned
53,468,13,2024-04-11,1,6716,UPI,Cancelled
54,791,22,2024-01-09,5,4396,Credit Card,Delivered
55,156,24,2024-04-25,4,32949,Wallet,Returned
56,464,18,2024-05-27,3,47175,COD,Returned
57,102,27,2024-08-15,4,23083,Wallet,Delivered
58,310,26,2024-03-27,4,29142,Credit Card,Delivered
59,2,39,2024-04-07,1,5573,Wallet,Returned
60,946,40,2024-01-23,5,9129,Credit Card,Delivered
61,35,30,2024-07-06,2,42493,Credit Card,Cancelled
62,568,20,2024-12-23,3,28731,Credit Card,Returned
63,132,17,2024-12-19,4,19733,UPI,Delivered
64,969,27,2024-03-23,2,46403,Wallet,Delivered
65,380,25,2024-06-25,5,18536,Credit Card,Cancelled
66,142,24,2024-01-12,2,38534,Credit Card,Returned
67,156,12,2024-09-07,1,14624,UPI,Delivered
68,270,12,2024-05-07,2,20990,Credit Card,Delivered
69,496,29,2024-02-12,3,34440,Wallet,Delivered
70,329,30,2024-09-03,5,27316,COD,Cancelled
71,673,2,2024-12-13,4,8338,Wallet,Returned
72,103,35,2024-03-02,4,9632,UPI,Returned
73,710,10,2024-09-11,4,10023,Wallet,Delivered
74,868,36,2024-01-02,3,48491,Credit Card,Cancelled
75,577,7,2024-01-22,2,29423,Wallet,Delivered
76,401,25,2024-09-19,5,1543,Credit Card,Delivered
77,97,10,2024-11-03,1,41291,UPI,Delivered
78,918,38,2024-07-19,3,17932,Credit Card,Returned
79,247,42,2024-03-14,5,47490,COD,Returned
80,723,40,2024-11-14,1,16758,UPI,Returned
81,671,2,2024-12-23,2,24508,Wallet,Delivered
82,201,34,2024-06-13,3,40036,Wallet,Delivered
83,157,3,2024-08-06,1,8741,COD,Returned
84,979,11,2024-08-31,4,30977,COD,Delivered
85,895,24,2024-04-14,3,11577,Wallet,Cancelled
86,760,49,2024-08-23,2,28578,Credit Card,Delivered
87,364,17,2024-11-01,1,39834,Wallet,Delivered
88,934,22,2024-02-04,3,37929,COD,Returned
89,868,14,2024-08-15,1,25935,Credit Card,Cancelled
90,444,24,2024-04-19,5,32105,UPI,Cancelled
91,843,31,2024-08-10,2,46781,Wallet,Cancelled
92,974,22,2024-02-29,5,846,COD,Delivered
93,463,24,2024-03-31,4,14479,Credit Card,Cancelled
94,822,22,2024-02-10,4,6030,COD,Delivered
95,828,33,2024-06-28,1,40142,UPI,Delivered
96,921,46,2024-09-01,4,47832,Wallet,Returned
97,904,1,2024-02-11,5,8763,Credit Card,Returned
98,981,27,2024-06-08,3,22680,COD,Delivered
99,188,36,2024-07-03,5,8088,Wallet,Cancelled
100,794,37,2024-04-26,4,40745,UPI,Cancelled
101,673,8,2024-03-21,2,26563,Credit Card,Cancelled
102,782,1,2024-05-29,1,5905,Credit Card,Returned
103,301,36,2024-11-27,4,44826,Credit Card,Delivered
104,400,2,2024-03-20,1,36349,Wallet,Returned
105,263,30,2024-05-27,1,578,UPI,Cancelled
106,128,48,2024-03-04,1,34075,COD,Returned
107,818,19,2024-09-18,5,26142,Credit Card,Delivered
108,925,39,2024-10-21,3,16280,Wallet,Delivered
109,963,46,2024-12-12,3,19277,UPI,Cancelled
110,216,37,2024-02-11,3,25424,Credit Card,Returned
111,795,24,2024-12-04,4,18029,Wallet,Delivered
112,477,19,2024-03-20,3,10528,Credit Card,Delivered
113,303,10,2024-07-19,1,28137,Wallet,Delivered
114,746,8,2024-02-21,5,23799,Wallet,Returned
115,904,38,2024-03-24,1,42566,Credit Card,Cancelled
116,846,32,2024-09-11,1,34654,Wallet,Returned
117,645,29,2024-05-10,1,36857,Wallet,Returned
118,193,50,2024-03-24,3,37184,Credit Card,Returned
119,302,12,2024-03-06,3,22737,Wallet,Cancelled
120,702,18,2024-09-13,4,22213,Credit Card,Delivered
121,102,17,2024-06-11,4,5570,Wallet,Returned
122,42,41,2024-02-12,1,39006,Wallet,Delivered
123,485,24,2024-01-24,2,43929,COD,Returned
124,515,13,2024-11-13,4,23927,UPI,Delivered
125,442,14,2024-02-26,1,35247,Wallet,Delivered
126,710,36,2024-10-22,2,38718,COD,Returned
127,907,36,2024-12-26,5,18556,Credit Card,Returned
128,186,32,2024-01-16,4,8358,Credit Card,Cancelled
129,28,22,2024-12-22,3,5244,UPI,Returned
130,384,26,2024-04-26,5,49453,Wallet,Delivered
131,385,7,2024-05-23,2,27491,Wallet,Returned
132,744,1,2024-12-03,1,35042,Wallet,Returned
133,243,28,2024-09-17,4,15371,Credit Card,Returned
134,557,3,2024-02-27,1,17167,COD,Delivered
135,536,43,2024-09-04,3,19543,Credit Card,Returned
136,496,16,2024-08-09,5,22998,Wallet,Delivered
137,207,50,2024-07-12,4,30627,Wallet,Delivered
138,57,49,2024-12-22,1,15642,Wallet,Cancelled
139,483,20,2024-06-01,5,31918,COD,Cancelled
140,721,35,2024-07-21,4,1356,Wallet,Delivered
141,857,47,2024-09-25,2,46956,Credit Card,Returned
142,733,38,2024-07-06,4,43831,Wallet,Returned
143,26,33,2024-03-09,5,30223,UPI,Cancelled
144,118,18,2024-04-15,5,3413,Credit Card,Returned
145,518,46,2024-03-23,2,40863,UPI,Returned
146,461,46,2024-01-20,3,47969,Wallet,Cancelled
147,434,5,2024-02-04,2,32319,UPI,Returned
148,954,35,2024-01-30,2,3159,UPI,Returned
149,350,20,2024-04-19,5,17441,COD,Returned
150,580,30,2024-02-04,3,9851,COD,Returned
151,658,46,2024-10-26,1,9338,Credit Card,Cancelled
152,109,22,2024-07-12,1,46532,Credit Card,Cancelled
153,534,50,2024-06-06,5,39533,Wallet,Returned
154,314,6,2024-03-10,3,43290,Credit Card,Returned
155,885,36,2024-09-09,3,4055,Wallet,Returned
156,100,27,2024-04-18,4,8976,Credit Card,Cancelled
157,532,22,2024-01-11,2,20101,COD,Delivered
158,562,9,2024-05-03,3,14028,UPI,Delivered
159,623,12,2024-01-05,3,24894,Wallet,Returned
160,891,34,2024-04-18,3,16977,Wallet,Cancelled
161,296,21,2024-10-24,2,13855,Credit Card,Returned
162,622,38,2024-07-15,4,6713,Wallet,Cancelled
163,324,50,2024-07-18,2,25102,Credit Card,Returned
164,651,46,2024-09-08,2,20793,COD,Cancelled
165,745,39,2024-05-20,3,42233,COD,Returned
166,260,10,2024-01-26,2,42552,COD,Returned
167,424,18,2024-09-19,4,37651,Wallet,Returned
168,416,19,2024-02-09,3,47757,COD,Cancelled
169,346,29,2024-12-04,2,36100,UPI,Returned
170,989,41,2024-09-07,5,15019,Wallet,Returned
171,756,13,2024-05-28,1,1546,Wallet,Returned
172,779,17,2024-06-30,2,28030,UPI,Delivered
173,841,25,2024-01-18,1,36170,COD,Delivered
174,870,22,2024-09-05,4,21572,UPI,Cancelled
175,788,25,2024-05-14,4,19608,Wallet,Returned
176,529,33,2024-01-18,1,20011,UPI,Cancelled
177,114,6,2024-06-06,1,24202,COD,Returned
178,224,49,2024-10-18,4,42595,Wallet,Delivered
179,90,30,2024-11-21,4,43203,COD,Returned
180,356,31,2024-09-02,5,37980,COD,Returned
181,619,14,2024-12-02,3,48041,Wallet,Delivered
182,284,42,2024-06-03,2,32901,Wallet,Returned
183,349,21,2024-11-04,3,9507,Credit Card,Delivered
184,198,34,2024-03-06,3,19038,Credit Card,Returned
185,395,36,2024-10-20,1,24585,Credit Card,Cancelled
186,962,36,2024-10-29,4,7117,UPI,Delivered
187,794,30,2024-04-29,1,36743,Credit Card,Returned
188,394,27,2024-06-04,5,17971,COD,Returned
189,323,7,2024-03-21,4,36877,UPI,Returned
190,274,49,2024-09-01,3,16503,UPI,Returned
191,757,2,2024-11-14,3,16406,UPI,Delivered
192,90,45,2024-05-21,4,25475,COD,Delivered
193,776,31,2024-01-20,3,6295,UPI,Delivered
194,221,17,2024-12-02,4,40567,UPI,Delivered
195,886,15,2024-03-21,5,45146,UPI,Delivered
196,215,5,2024-03-26,3,15826,COD,Delivered
197,94,33,2024-03-28,2,39983,Credit Card,Returned
198,300,1,2024-03-10,1,45755,Wallet,Delivered
199,287,15,2024-05-20,3,38827,COD,Delivered
200,876,9,2024-02-15,2,23886,Credit Card,Delivered
201,63,45,2024-01-06,3,37439,COD,Delivered
202,342,33,2024-10-20,3,36348,Credit Card,Cancelled
203,748,42,2024-07-15,2,45490,COD,Delivered
204,612,2,2024-05-06,3,48735,Credit Card,Cancelled
