product_id,product_name,category,price,stock_quantity,rating,brand
1,Product 1,Home,7383,1,1.1,West LLC
2,Product 2,Clothing,1005,306,1.4,"Johnston, Becker and Zuniga"
3,Product 3,Sports,810,265,2.5,Scott LLC
4,Product 4,Beauty,3526,214,1.5,Green-Cantrell
5,Product 5,Electronics,1375,483,1.7,Smith-Romero
6,Product 6,Clothing,9079,347,3.3,Hebert and Sons
7,Product 7,Home,4344,435,2.3,Molina Ltd
8,Product 8,Clothing,552,146,2.7,Jones-Reynolds
9,Product 9,Sports,7261,46,4.1,"Martinez, Peterson and Holland"
10,Product 10,Electronics,7504,264,3.3,Hill Group
11,Product 11,Electronics,6295,440,4.1,"Johnson, Murphy and Moore"
12,Product 12,Home,2033,362,3.7,Wagner Ltd
13,Product 13,Home,2609,233,1.8,Hubbard-Haas
14,Product 14,Clothing,6673,321,4.8,"Wolf, Cowan and Swanson"
15,Product 15,Home,8230,314,2.9,Cortez-Carter
16,Product 16,Beauty,6789,65,4.7,"Sullivan, Bennett and Cook"
17,Product 17,Clothing,3755,36,1.8,"Hill, Wright and Matthews"
18,Product 18,Home,4166,282,3.6,"Hill, Edwards and Payne"
19,Product 19,Clothing,9031,387,5.0,Banks PLC
20,Product 20,Home,7740,65,3.3,"Potts, Hudson and Romero"
21,Product 21,Clothing,9405,108,1.0,"Martin, Monroe and Buchanan"
22,Product 22,Beauty,2507,419,1.9,Gray-Kelley
23,Product 23,Electronics,5151,307,2.9,Lucas-Glenn
24,Product 24,Clothing,1400,107,3.5,"Koch, Foster and Clark"
25,Product 25,Clothing,7208,97,3.9,"Austin, Guerrero and Torres"
26,Product 26,Sports,4719,452,4.8,Cole Group
27,Product 27,Home,4304,309,1.2,Grant-Frey
28,Product 28,Home,3348,311,4.4,Fletcher-Weber
29,Product 29,Clothing,8365,82,2.8,Brown-James
30,Product 30,Home,7952,230,3.7,Patel PLC
31,Product 31,Clothing,6864,123,1.4,"Petersen, Farley and Ellis"
32,Product 32,Sports,9159,321,1.4,Wong and Sons
33,Product 33,Beauty,2531,486,2.8,"Hooper, Santiago and Nixon"
34,Product 34,Beauty,4723,467,4.1,Peterson-Russell
35,Product 35,Beauty,532,0,2.4,"Washington, Jones and Durham"
36,Product 36,Clothing,3776,243,4.5,Campbell Group
37,Product 37,Electronics,5974,97,4.7,"Mckenzie, Bauer and Gilmore"
38,Product 38,Electronics,7964,459,4.4,Hubbard Group
39,Product 39,Electronics,569,57,4.9,"Young, Parker and Martinez"
40,Product 40,Clothing,8004,72,2.8,Huynh LLC
41,Product 41,Clothing,4365,112,2.1,"Branch, Ali and Clark"
42,Product 42,Clothing,3798,303,1.8,"Baker, Stewart and Hernandez"
43,Product 43,Sports,2257,65,5.0,Henderson PLC
44,Product 44,Sports,7604,52,4.3,"Weber, Alexander and Williams"
45,Product 45,Electronics,6000,52,2.8,Davis LLC
46,Product 46,Beauty,2736,110,2.5,"West, Howard and Vaughn"
47,Product 47,Sports,6006,299,3.2,Allen-Randolph
48,Product 48,Clothing,7171,139,3.5,"Martin, Bradford and Rodriguez"
49,Product 49,Beauty,4975,181,4.9,Charles Inc
50,Product 50,Clothing,7706,284,1.9,"Hughes, Horton and Myers"
51,Product 51,Beauty,4970,177,2.0,Baker-Henderson
52,Product 52,Clothing,4381,348,2.7,Johnson-Hill
53,Product 53,Sports,493,433,3.6,"Ramirez, Golden and Thompson"
54,Product 54,Beauty,5045,174,2.5,Cunningham Inc
55,Product 55,Home,2603,216,1.6,Mclean Inc
56,Product 56,Electronics,3520,259,3.6,Day and Sons
57,Product 57,Beauty,2705,71,4.3,Blankenship and Sons
58,Product 58,Sports,9175,449,3.7,Patton-Guerrero
59,Product 59,Clothing,3707,161,2.8,White Inc
60,Product 60,Home,8364,159,4.6,Macias and Sons
61,Product 61,Clothing,6585,411,2.8,Palmer-Jackson
62,Product 62,Home,7260,88,2.3,Williams-Smith
63,Product 63,Clothing,226,410,1.5,"Cole, Smith and Lewis"
64,Product 64,Beauty,3594,177,1.7,Owens and Sons
65,Product 65,Electronics,1575,470,3.0,Green Group
66,Product 66,Home,3514,470,1.8,Morris LLC
67,Product 67,Sports,1386,192,1.3,Massey-Miller
68,Product 68,Electronics,1393,462,1.3,"Wolf, Keller and Mosley"
69,Product 69,Home,3379,380,2.5,Smith and Sons
70,Product 70,Beauty,5334,5,4.1,Burns-Andrade
71,Product 71,Electronics,1979,147,1.5,Little LLC
72,Product 72,Sports,4731,170,2.6,Sandoval-Martinez
73,Product 73,Sports,4792,124,2.2,Patterson-Solis
74,Product 74,Beauty,4264,301,2.1,"Russell, Mitchell and Montoya"
75,Product 75,Electronics,5949,160,3.0,"Lopez, Evans and Kelly"
76,Product 76,Electronics,1796,272,4.4,"Sanchez, Chase and Walker"
77,Product 77,Sports,2932,270,1.2,"Jones, Conrad and Martinez"
78,Product 78,Sports,9614,483,3.7,"Williams, Herrera and Foster"
79,Product 79,Electronics,7778,74,4.4,Schwartz Ltd
80,Product 80,Clothing,9998,139,1.1,"Flores, Lee and Miranda"
81,Product 81,Home,5434,324,1.7,Sanchez Ltd
82,Product 82,Clothing,9229,387,4.9,Prince-Franklin
83,Product 83,Electronics,8065,46,2.6,Robinson PLC
84,Product 84,Sports,3374,56,1.3,"Rodriguez, Santos and Barajas"
85,Product 85,Home,7726,27,2.2,Lopez-Alvarez
86,Product 86,Clothing,3922,64,2.8,"Castro, Ross and Carter"
87,Product 87,Clothing,5931,87,4.9,Mckee and Sons
88,Product 88,Sports,1892,52,2.6,Avila LLC
89,Product 89,Sports,1967,487,4.3,Johnson and Sons
90,Product 90,Clothing,5742,268,3.9,"Mata, Townsend and Mcbride"
91,Product 91,Sports,2426,197,3.3,Carter Ltd
92,Product 92,Beauty,9153,272,2.5,King Inc
93,Product 93,Sports,8858,136,3.9,"Marks, Lowery and Lucas"
94,Product 94,Beauty,8136,49,4.4,"Flores, Young and Campbell"
95,Product 95,Beauty,1920,124,3.2,"Hoffman, Graves and Miller"
96,Product 96,Sports,7924,55,3.1,Moss Group
97,Product 97,Clothing,2581,311,2.5,Thomas-Young
98,Product 98,Electronics,8801,284,4.2,Moore Group
99,Product 99,Sports,7480,418,2.5,Bishop-Martin
100,Product 100,Clothing,2808,33,3.5,"Cook, Pace and Vazquez"
101,Product 101,Sports,8481,172,3.4,"Hill, Larsen and Anderson"
102,Product 102,Clothing,7997,178,1.9,Lozano-Hall
103,Product 103,Beauty,3003,424,2.8,Myers-Johnson
104,Product 104,Clothing,4304,263,3.6,Smith-Johnson
105,Product 105,Clothing,2035,278,2.0,Arroyo-Aguilar
106,Product 106,Sports,3151,236,2.2,"Taylor, Williams and Lopez"
107,Product 107,Sports,4996,287,1.2,Gardner Inc
108,Product 108,Electronics,1845,493,4.8,"Hansen, Wells and Preston"
109,Product 109,Sports,7744,123,2.5,Calderon and Sons
110,Product 110,Home,166,68,2.4,"Houston, Moore and Vaughan"
111,Product 111,Beauty,4199,89,2.0,Sellers Ltd
