order_item_id,order_id,product_id,quantity,unit_price,total_price,discount,return_id,return_reason,return_date,refund_amount,status
11197,3690,383,2,3997,7994,7,1,Other,2025-09-06,5406.889681351531,Processed
423,145,289,1,6074,6074,9,2,Late Delivery,2025-11-05,4704.995112809825,Pending
13616,4492,38,2,7964,15928,35,3,Wrong Item,2025-03-20,13324.888867807262,Pending
5610,1862,447,1,2645,2645,5,4,Damaged,2025-07-10,1514.3253405196174,Pending
9042,2983,399,1,2348,2348,38,5,Late Delivery,2025-01-04,2192.5563270149974,Pending
4372,1456,452,1,200,200,47,6,Late Delivery,2025-01-11,179.25520042581098,Processed
4575,1520,215,1,1100,1100,7,7,Late Delivery,2025-10-15,735.9874167329581,Processed
14088,4648,20,1,7740,7740,2,8,Wrong Item,2025-09-10,6735.533812546485,Processed
9741,3222,27,2,4304,8608,11,9,Damaged,2025-05-08,8015.18526166448,Processed
3985,1329,179,1,7886,7886,25,10,Other,2025-09-23,5464.29405222846,Pending
9683,3201,109,2,7744,15488,11,11,Wrong Item,2025-07-20,8184.911415178389,Pending
6755,2247,6,2,9079,18158,25,12,Damaged,2025-02-22,15346.594859631448,Processed
14949,4935,113,1,8499,8499,9,13,Wrong Item,2025-02-19,4358.95285111319,Pending
7011,2324,136,1,3041,3041,46,14,Damaged,2025-06-01,2523.4156242709646,Pending
1515,507,52,2,4381,8762,22,15,Late Delivery,2025-04-22,7144.67932592796,Processed
1860,616,184,1,2562,2562,20,16,Late Delivery,2025-03-31,2194.521952624218,Pending
5672,1883,16,1,6789,6789,40,17,Wrong Item,2025-08-10,6703.42001024692,Pending
8794,2901,252,2,2663,5326,43,18,Late Delivery,2025-08-21,3805.876421539363,Processed
15019,4959,500,2,8459,16918,35,19,Damaged,2025-09-03,12750.634315167306,Pending
10954,3612,303,1,6559,6559,8,20,Late Delivery,2025-11-29,5646.244992667321,Processed
4244,1415,196,1,3348,3348,34,21,Wrong Item,2025-02-04,1883.2702181593368,Processed
9792,3237,482,2,4129,8258,7,22,Wrong Item,2025-05-15,6428.573968281832,Pending
7458,2468,384,2,2886,5772,32,23,Late Delivery,2025-08-07,3871.4286006067077,Pending
9,3,61,1,6585,6585,24,24,Other,2025-02-09,5244.967143283795,Pending
1899,629,14,2,6673,13346,1,25,Late Delivery,2025-04-12,9268.118956324766,Processed
1962,647,458,2,7231,14462,1,26,Other,2025-10-29,12974.43061965454,Pending
5932,1968,250,1,4301,4301,22,27,Late Delivery,2025-09-03,2595.7927775241506,Pending
3613,1206,322,1,8465,8465,35,28,Late Delivery,2025-03-22,6382.250813603479,Processed
4497,1491,134,2,433,866,44,29,Damaged,2025-09-21,851.2068802077342,Processed
2682,883,221,1,3953,3953,38,30,Other,2025-02-28,3433.5005632332404,Pending
9473,3134,168,1,2126,2126,45,31,Wrong Item,2025-06-12,1668.235626576651,Processed
8661,2851,366,2,3411,6822,27,32,Other,2025-05-13,6032.118565001578,Pending
8524,2807,48,1,7171,7171,31,33,Wrong Item,2025-01-24,5182.036406660958,Pending
